	item	desc	domain	meaning	example_1	example_2	example_3	example_4
9872	uchrashuv	n	Social Life	appointment, rendez-vous, meeting				
9874	uchrat-	v.t	Social Life	meet, run into, hit upon	Men uni teatrda uchratdim.	I have met him in the theater.	Yo'lda kimni uchratdingiz?	Whom did you met on the way?
9884	KO'R-	v.t	Social Life	see, meet	Men ikkita bolani ko'rdim.	I saw two children.		
9889	ko'rish-	v.int | (NX bilan) ~	Social Life	see, meet one another (with X)				
9891	ZIYORAT	n	Social Life	pilgrimage | visit				
9893	YO'QLA-	v.t	Social Life	call on, (pay a) visit (to) | remember, ask for (a person)	Hozirgina sizni yo'qlab turgan edik.	We had just been thinking about you.		
9900	SALOM	NX+ga ~	Social Life	greetings, salutation, regards to X	Ota-onangga salom ayt.	My best regards to your parents.		
9901	SALOM	NX+ga ~ ber-	Social Life	greet X, salute X	Men unga salom berdim.	I greeted him.		
9902	SALOM	NX+ga NY+dan ~ ayt-	Social Life	give X Y's best regards	Unga mendan salom ayting.	Give him my best regards.		
9904	SALOM	salom!	Social Life	hello!				
9905	salomlash-	v.int	Social Life	exchange greetings				
9912	XAYR	int	Social Life	goodbye!	Xayr, sog' boling!	Goodbye!		
9914	xayrlash-	v.int	Social Life	part, take leave one another				
9915	xayrlash-	v.int | NX bilan ~	Social Life	part from X, take leave from X, say good-bye to X	Kechqurun men o'zimning yangi do'stlarim bilan xayrlashdim.	In the evening I took leave of my new friends.		
9920	TAKLIF	n	Social Life	suggestion, proposal, offer | invitation				
9921	TAKLIF	NX+ni N(ish)Y+ga taklif et-/qil-	Social Life	invite X to Y, offer X to (do) Y	U meni tushlikka taklif etdi.	He has invited me to dinner.	O'quvchilar urush qatnashchilarini o'zlarining yig'inlariga taklif etdilar.	The pupils invited the war veterans to their meeting.
9927	DA'VAT	NX+ni N(ish)Y+ga da'vat et-/qil-	Social Life	invite X to Y, call X for Y	Kasaba uyushmasi port ishchilarini ish tashlashga da'vat etdi.	The trade union has called the dockers for strike.	Ularning oilalarini tijorat faoliyati bilan ifgullanishga da'vat etdi.	She called upon their families to become involved in business ventures.
9929	MEHMON	n	Social Life	guest	Uyimizga mehmon kelsa sevinamiz.	If a guest comes to our house, we rejoice.		
9930	MEHMON	mehmon bo'l-	Social Life	be invited				
9935	MEHMON	mehmon qil-	Social Life	entertain a guest				
9937	mehmondo'stlik	n	Social Life	hospitality				
9939	keluvchi	xush kelibsiz!	Social Life	welcome!				
9942	QABUL	n	Social Life	reception | acceptance	Sizning taklifingizni qabul qildim.	I have accepted your proposal.		
9944	QABUL	qabul qil-/et-	Social Life	accept, admit | receive	Biz bugun o'qituvchilar delegatsiyasini qabul qilamiz.	We receive today a delegation of teachers.	Kelgan vaqillarni qabul qildilar.	The representatives who arrived were received.
9946	KUT-	v.t	Social Life	wait for | look after, receive, entertain (guests)	U mehmonlarini yaxshi kutdi.	He looked after his guests well.		
9949	UZAT-	NX+ni NY+ga ~+ib yubor-	Social Life	accompany, send off, see off	Men do'stimni uyiga uzatdim.	I accompanied my friend to his house.		
9950	KUZAT-	v.t	Social Life	see off, accompany, send off	U onasini vokzalga kuzatib bordi.	He accompanied his mother to the railway station.		
9954	o'tkaz-	v.t	Social Life	hold, conduct (meeting, ceremony)	Ular bugun majlis o'tkazishyapti.	They hold the meeting today.		
9956	QATNASH-	v.int | NX+ga ~	Social Life	take part, participate in X, attend, join in X	Bugungi yig'ilishga qatnashasizmi?	Are you going to attend today's meeting?		
9959	ISHTIROK	n | N(ish)X+da ~	Social Life	participation, attendance to X	Bizning birgalashib qilayotgan ishimizda uning ishtiroki haqiqatan ham katta bo'ldi.	His participation in our teamwork was really big.	Maktab mudirlari va o'qituvchilarning ishtirokida yig'ilish bo'ldi.	There was a meeting attended by head teachers and school teachers.
9960	ISHTIROK	N(ish)X+da ishtirok et-/qil-	Social Life	participate to X, attend X	Kechagi yig'ilishga o'n kishi ishtirok etdi.	Ten people attended yesterday's meeting.		
9962	MAJLIS	n	Social Life	meeting, conference, assembly | parliament, assembly				
9968	yig'ilish	n	Social Life	gathering, meeting	Bugungi yig'ilishga oz odam keldi.	Few people came to today's meeting.		
9970	o'tirish	n	Social Life	party, social gathering, meeting	Kecha muallimlarning o'tirishi bo'ldi.	Yesterday there was a meeting of teachers.		
9972	o'tirish	tug'ilgan kun(+i)	Social Life	birthday				
9973	yillik	n	Social Life	anniversary				
9975	ZIYOFAT	n	Social Life	banquet, social entertainment	U ziyofatimiz bo'ldi.	He was at our social.		
9980	TO'Y	n	Social Life	celebration, feast (wedding, circumcision...)				
9997	TANTANA	n	Social Life	celebration, festivity, triumph | solemnity	U tantana bilan kutib olindi.	He was greeted with celebrations.		
9999	tantanali	adj	Social Life	ceremonious, solemn				
10000	nishonla-	v.t	Social Life	celebrate, commemorate	Bugun biz otamizning 50 yoshga to'lishini nishonlaymiz.	Today we celebrate our father's fifthieth birthday.		
10002	TABRIK	n	Social Life	congratulation, compliment, greetings	Undan tabrik telegrami keldi.	A greetings telegram arrived from him.		
10003	tabrikla-	v.t | N(gani)X bilan ~	Social Life	congratulate on X, compliment on X				
10005	HAYIT	n	Social Life	feast, festival	Bu hayitga kelasizmi?	Are you coming to this festival?		
10007	BAYRAM	n	Social Life	holiday, festival				
10012	NAVRO'Z	n	Social Life	Nowruz, the day of new year, March 21st				
10021	KO'M-	v.t	Social Life	bury (corpse)				
10033	jamiyat	n	Society	society | association, society, union	Jamiyat a'zolari majlisga to'plandilar.	The members of the society got together for a meeting.		
10038	IJTIMOIY	adj	Society	social	Ijtimoiy ishlarga e'tibor berish kerak.	Attention must be given to social work.		
10041	AHOLI	n	Society	population, inhabitants	Bu qishloq aholisi yer qimirlash ofatiga uchradi.	The inhabitants of this village experienced the misfortune of an earthquake.		
10051	YURT	n	Society	native place, homeland | people, population				
10055	XALQ	n	Society	people, masses, nation	Fransiya xalqi ozodlikni sevadi.	The people of France love freedom.		
10057	xalqaro	adj	Society	international				
10059	MILLAT	n	Society	nation				
10064	MILLIY	adj	Society	national, ethnic	Bu bizning milliy siyosatimiz.	This is our national policy.		
10066	VATAN	n	Society	fatherland, homeland				
10070	MAMLAKAT	n	Society	country, nation				
10072	GRAJDAN	n	Society	citizen				
10077	CHET	chet el	Society	foreign country				
10080	CHET	chet ellik	Society	foreigner				
10084	xorijiy	adj	Society	foreign (e.g books)				
10088	MUHOJIR	n	Society	migrant, exilee, refugee				
10091	SINF	n	Society	class (social, school, transport)	Ikkinchi sinf o'quvchisi.	Pupil in the second class.	Ishchilar sinfi.	Working class.
10094	XO'JA	n	Society	descendant of the first four caliphs | lord, master	Uy xo'jasi bilan so'zlashdim.	I spoke with the owner of the house.		
10100	BEK	n	Society	nobleman, prince				
10103	JANOB	n	Society	gentleman | Sir, Mister | Excellency				
10105	XONIM	n	Society	lady, woman | Madam	Faqat xonimlargina bilaguzuk taqadilar.	Only women wear bracelets.		
10111	QUL	n	Society	slave				
10118	DEHQON	n	Society	farmer, peasant, farm-worker				
10121	UMUM	n	Society	everybody, the public	U umum oldida uyatli bo'ldi.	He was shy in front of the public.		
10122	umumiy	adj	Society	general, common, public, universal				
10125	OLOMON	n	Society	crowd(s), the masses	Olomonning ichida qoldim.	I stayed with the crowd.	Shaharni olomon bosdi.	Crowds invaded the city.
10128	OMMA	n	Society	the masses, people	Omma ko'zg'aldi.	The masses revolted.		
10131	ommabop	adj	Society	popular, common				
10135	ko'pchilik	n	Society	majority | everybody, many people				
10140	XUSUSIY	adj	Society	personal, private				
10141	shaxsiy	adj	Society	individual, private				
10152	TO'P	n, meas	Society	group, flock, heap	Bir to'p qo'y.	A flock of sheep.	Bir to'p tosh.	A heap of stones.
10154	GURUH	n	Society	group	Bizni guruhlarga bo'ldilar.	They divided us up into group.		
10155	TO'DA	n | NX+lar ~+si	Society	group of Xs, gang of Xs	Bizning to'damizda o'n kishi bor.	There are ten people in our group.		
10157	tuzum	n	Society	system, structure	Mamlakatning ijtimoiy tuzumida o'zgarish bo'ldi.	There was a change in the social structure of the country.		
10158	KOMANDA	n	Society	team, crew	Futbolchilar komandasi.	Football team.	Kreyser komandasi.	Crew of a cruiser.
10160	BRIGADA	tashkil qil-/et-	Society	organize, found, establish | form, make up	Biz bir jamiyat tashkil qildik.	We have organized a society.		
10161	tashkilot	n	Society	organization	Tashkilotingiz qachon tashkil etgan?	When was your organization founded?		
10170	uyushma	n	Society	union, federation, association				
10172	birlik	n	Society	unity	Kuch birlikda.	Strength in unity.		
10173	birlash-	v.int | (NX+ga) ~	Society	unite (to X), join together	Dehqonlar kooperativlarga birlashdilar.	Many peasants have united to cooperatives.		
10174	birlashtir-	v.t | NX+ni (NY+ga) ~	Society	unite, combine X (to Y), assemble, put together X	Yosh bolalar harflarni so'zga birlashtirdilar.	The small children united the letters to words..		
10180	ITTIFOQ	n	Society	union, alliance				
10188	NOMZOD	n	Society	candidate	Bu kishi bizning nomzoddir.	This man is our candidate.		
10191	qo'shil-	v.int | NX+ga ~	Society	be added to X, be included to X | join X, join with X, participate to X	Biz turistlar guruhiga qo'shildik.	We joined a group of tourists.	U delegatsiyaga Moskvada qo'shildi.	He joined with this delegation in Moscow.
10192	KIR-	v.int | NX+ga ~	Society	enter X, join X(=organization)	O'rta maktabni bitirgandan keyin u universitetga kirdi.	After finishing the middle school he entered the university.	U yaqinda shu tashkilotga kirdi.	He has joined this organization not long ago.
10196	A'ZO	n	Society	member				
10201	MARKAZ	n	Society	centre (location and organization)	Men shaharning markazida turaman.	I live in the centre of the city.		
10202	markaziy	adj	Society	central				
10210	BOSH	n, adj	Society	head, chief, top, main				
10211	boshliq	n	Society	chief, leader				
10214	RAHBAR	n	Society	leader				
10215	rahbarlik	n	Society	leadership				
10222	RAIS	n	Society	president; chairman, director, leader	Bu majlisning raisi kim?	Who is the chairman of this meeting?	Hukumat raisi idorada emas.	The president is not in the office.
10226	HOKIM	n	Society	local ruler, judge | ruler				
10230	hokimiyat	n	Society	power, rule, domination, regime				
10239	SAYLA-	v.t | NX+ni NY qilib ~	Society	elect, vote for, choose X as Y	Keksa professorni majlis raisi qilib sayladilar.	The old professor was elected chairman of the meeting.	Men sizni saylayman.	I will vote for you.
10241	saylov	n	Society	election	Bugun saylov kuni.	Today is election day.		
10247	OVOZ	NX+ga ovoz ber-	Society	vote for X	Men unga ovoz berdim.	I have voted for him.	Kelinglar shu taklifga ovoz beramiz.	Let us vote for this proposal.
10255	ODAT	n	Society	habit | custom, usage				
10257	ODDIY	adj	Society	ordinary, usual, regular	U oddiy ishchi.	He is an ordinary worker.		
10259	URF	urf-odat	Society	custom(s)				
10262	an'anaviy	adj	Society	traditional				
10266	QOIDA	n	Society	rule, regulation	Tashkilot qoidasiga bo'ysunish kerak.	One must bow to the rules of the organization.		
10269	QONUN	n	Society	law	Fransiya qonunlarini bilasizmi?	Do you know the laws of France?		
10277	RASMIY	adj	Society	official	Hukumat terrorchilik masalasida o'z fikrini rasmiy ravishda bildirdi.	The government gave its official view on the problem of terrorism.		
10287	QOG'OZ	qog'ozlar	Society	documents, papers	Avval qog'ozlaringizni keltiring!	First bring your documents!		
10290	HUJJAT	n	Society	document, paper | (attesting) document	Men hujjatlarimni yo'qotib qo'ydim.	I have lost my documents.		
10291	HUJJAT	hujjatlar	Society	documents, papers | (attesting) documents				
10297	PASPORT	n	Society	passport				
10298	VIZA	n	Society	visa				
10299	BLANK/ BLANKA	n	Society	form				
10301	RO'YXAT	n	Society	list, register				
10307	BITIM	n	Society	contract, agreement, treaty				
10309	shartnoma	n | (NX haqidagi) ~	Society	(written) contract, agreement, treaty, pact (for X)	Hamkorlik haqidagi shartnoma 10 yil davomida kuchga ega.	The cooperation pact acts within 10 years.		
10320	QO'L	NX+ga qo'l qo'y-	Society	sign X				
10322	IMZO	n	Society	signature				
10333	KAFIL	n | N(ish)X+ga ~	Society	witness, guarantor for X	Men ishning sifati yaxshiligiga kafilman.	I vouch for a good quality of the work.	U odamga kafil bo'ldim.	I was a witness for that man.
10344	ruxsatnoma	n	Society	permit				
10353	TAMG'A	n	Society	brand, stamp, trade-mark; coat-of-arms				
10360	BAYROQ	n	Society	flag, standard				
10363	DAVLAT	n	State and Politics	state, government; state, national				
10366	RESPUBLIKA	n	State and Politics	republic				
10367	PODSHOH/ PODSHO	n	State and Politics	padishah, king	Bizning mamlakatimizga Daniya podshohi keldi.	The King of Denmark came to our country.		
10374	XON	n	State and Politics	khan				
10385	RAIS	n	State and Politics	president; chairman, director, leader	Bu majlisning raisi kim?	Who is the chairman of this meeting?	Hukumat raisi idorada emas.	The president is not in the office.
10388	PREZIDENT	n	State and Politics	president	Prezident sofirlarni qabul qildi.	The president received the ambassadors.		
10390	VAZIR	n	State and Politics	minister				
10393	MINISTR	n	State and Politics	minister				
10400	VILOYAT	n	State and Politics	province, region				
10403	TUMAN	n	State and Politics	district, region				
10404	POYTAXT	n	State and Politics	capital (city)				
10408	HUKUMAT	n	State and Politics	government	Hukumat yangi qonun doyihasini tuzdi.	The Government has put forward a proposal for a new law.		
10412	MAJLIS	n	State and Politics	meeting, conference, assembly | parliament, assembly				
10428	VAKIL	n	State and Politics	representative, delegate, deputy				
10429	VAKIL	NX+ning ~+i bo'l-	State and Politics	represent X	Konferensiyada u qaysi oliy o'quv yurtining vakili bo'lib qatnashadi?	What higher educational institution does he represent at the conference?	Hukumatning vakili bo'lib bordim.	I went as a representative of the government.
10440	amaldor	n	State and Politics	official, civil servant				
10446	MANSAB	n	State and Politics	official position, post, rank	Qanday mansabingiz bor?	What is your job?		
10453	ELCHI	n	State and Politics	ambassador	Londonga Turkiya elchisi keldi.	The Turkish ambassador came to London.		
10454	elchixona	n	State and Politics	embassy				
10462	SIYOSAT	n	State and Politics	policy, politics				
10465	SIYOSIY	adj	State and Politics	political	Siyosiy ishlarimizga ayricha e'tibor berishimiz kerak.	We must pay special attention to our political activities.		
10466	PARTIYA	n	State and Politics	party				
10486	demokratiya	n	State and Politics	democracy				
10515	islohot	n	State and Politics	reform	Mamlakatda yer islohoti o'tkazildi.	Land reform was carried out in the country.		
10524	INQILOB	n	State and Politics	revolution, uprising				
10535	NAMOYISH	n	State and Politics	demonstration, march	Ishchilar namoyishga chiqdilar.	The workers demonstrated.		
10559	DUSHMAN	n | NX+ga ~	Conflict	enemy (of X)	U menga dushman bo'ldi.	He became my enemy.		
10565	RAQOBAT	n	Conflict	competition				
10576	FITNA	n	Conflict	plot, conspiracy, intrigue	Dushmanning fitnasi bitirildi.	The enemy conspiracy has been broken.	U mening ustimda fitna tarqatgan.	He is plotting against me.
10582	tortish-	v.int | NX haqida ~	Conflict	discuss, debate, contend on X	Ular shu maqola haqida qizg'in tortishmoqdalar.	They hold a hot discussion on this article.	Bolalar bir-birlari bilan tortishyaptilar.	The children are having a tug-of-war.
10592	JANJAL	n	Conflict	uproar, brawl, quarrel	Bu janjalni bostiring!	Stop this row!		
10594	janjallash-	v.int | NX bilan ~	Conflict	quarrel with X, brawl, pick a fight with X	Bola akasi bilan ko'pincha janjallashadi.	The boy quarrels often with his brother.		
10614	TAHDID	n	Conflict	threat				
10619	TERROR	n	Conflict	terror				
10626	ZULM	n	Conflict	oppression, yoke	Biz ularning zulmiga qarshimiz.	We are against their oppression.		
10634	QARSHI	post | NX+ga ~	Conflict	against X, contrary to X	U odam menga qarshi ish qilyapti.	That man is working against me.	Uning kutganiga qarshi.	Contrary to his expectations.
10638	qarshilik	NX+ga NY+da qarshilik qil-	Conflict	protest, resist against X about Y, oppose, contradict X in Y	U menga hamma narsada qarshilik qiladi.	She contradicts me in everything.		
10647	E'TIROZ	NX+ga qarshi ~ bildir-	Conflict	object, protest, say smth. against X	U bu taklifga qarshi hech qanday e'tiroz bildirolmadi.	He couldn't say anything against this offer.		
10661	ISYON	n	Conflict	rebellion, revolt				
10665	KURASH	n	Conflict	struggle, fight, fighting, battle				
10672	UR-	v.t	Conflict	beat, strike | hit, knock	Ahmad Toshmatni urdi.	Ahmad beat Tashmat.	Bizning askarlar dushman askarlarini urdilar.	Our soldiers have struck at the enemy.
10674	urish-	v.int | NX uchun ~	Conflict	fight for X	Bolalar koptok uchun urishdilar.	The children fought for the ball.	Askarlar urishyaptilar.	The soldiers are fighting.
10687	HUJUM	n	Conflict	attack, assault	Uchquchlar hujumidan bekinishga harakat qilingiz.	Try to shelter from the air attack.		
10688	HUJUM	hujum et-/qil-	Conflict	attack, assault				
10696	quvla-	v.t	Conflict	chase, pursue	Bo'rini quvladik.	We chased the wolf.	O'g'rini tutish uchun uning orqasidan quvladim.	I pursued the thief in order to catch him.
10701	QOCH-	v.int | N(ish)X+dan ~	Conflict	flee X, run away from X	Ular qochdilar.	They fled.		
10702	QOCH-	NX+dan ~+ib ket-	Conflict	escape X, evade X				
10706	qochqin	n	Conflict	fugitive, runaway | refugee				
10709	MUDOFAA	n	Conflict	defence				
10713	HIMOYA	NX+ni NY+dan himoya qil-	Conflict	protect, defend X from Y, support X against Y	Har bir kishi o'z vatanini dushmanlardan himoya qilishga doim tayyordir.	Each man is always ready to defend his native land from the enemies.	U o'z singlisini xatardan himoya qildi.	He defended his little sister from the danger.
10716	himoyachi	n	Conflict	defender				
10723	G'ALABA	n	Conflict	victory, success	Ishimizda ko'p g'alabaga erishdik.	We have had great successes in our work.		
10725	G'ALABA	g'alaba qil-	Conflict	win, be victorious				
10729	mag'lubiyat	n	Conflict	defeat				
10733	YENG-	v.t	Conflict	win, be victorious (against); defeat	Yosh bokschi o'zining barcha raqiblarini yengdi.	The young boxer won all his rivals.	Dushmanni yengdik.	We defeated the enemy.
10740	ZABT	n	Conflict	conquest				
10750	O'CH	N(gani)Y uchun NX+dan ~ ol-	Conflict	take revenge on X for Y	Men xafa qilganim uchun u mendan o'ch olmoqda.	He revenges himself up on me for my grudging.	Ahmad Toshmatdan o'ch olishni istaydi.	Ahmad wants to revenge himself on Tashmat.
10752	QASOS	n	Conflict	revenge, vengeance				
10755	QURBON	n	Conflict	sacrifice, offerings | victime, martyr				
10757	QURBON	NX+ni NY uchun qurbon qil-	Conflict	sacrifice X for Y	O'z hayotini vatan ozodligi uchun qurbon qildi.	He has sacrificed his life for the freedom of his native land.	U hayvonni qurbon qildik.	We sacrificed that animal.
10758	urish-	v.int | NX uchun ~	Conflict	fight for X	Bolalar koptok uchun urishdilar.	The children fought for the ball.	Askarlar urishyaptilar.	The soldiers are fighting.
10762	URUSH	n	Conflict	war, warfare				
10765	JANG	n	Conflict	battle	Men sharq jabhasidagi janglarda qatnashdim.	I took part in the battles on the Eastern front.		
10773	harbiy	adj	Conflict	military				
10777	ASKAR	n	Conflict	soldier				
10784	QOROVUL	n	Conflict	guard, sentry, watchman	Qorovullar ko'chada turibdilar.	The guards are standing in the street.		
10787	SOQCHI	n	Conflict	guard, watchman				
10794	JOSUS	n	Conflict	spy				
10796	ARMIYA	n	Conflict	army, forces				
10797	QO'SHIN	n	Conflict	army, troops, forces				
10802	QUROL	n	Conflict	arms, weapons, armaments, guns | equipment				
10809	KALTAK	n	Conflict	stick				
10818	QILICH	n	Conflict	sword, sabre				
10822	OT-	v.int | NX+ga ~	Conflict	fire (weapon) at X, shoot X	Biz navbatma-navbat nishonga otdik.	We shot in turn the target.	Dushman tankasiga qarab oting!	Fire at the enemy tank!
10827	MO'LJAL	NX+ni ~+ga ol-	Conflict	aim at X, take aim at X	Nishonni yaxshi mo'ljalga oling.	Aim good at the target.	Mergan o'rdakni mo'ljalga olyapti.	The hunter is taking aim at the duck.
10828	KAMON	n	Conflict	bow				
10829	O'Q	n	Conflict	arrow | bullet, shell				
10834	MILTIQ	n	Conflict	gun, rifle				
10839	TO'P	n	Conflict	cannon				
10851	DORI	n	Conflict	(gun)powder				
10855	KASKA	n	Conflict	helmet				
10857	MUZOKARA	n | NX haqida ~	Conflict	discussion about X	Yangi film haqida tomoshabinlar bilan o'tkazilgan muzokara qizg'in o'tdi.	The discussion with the spectators of the new film proceeded animatedly.	Naim muzokaraga chiqdi.	Naim has joined in the discussion.
10858	MUZOKARA	n | NY o'rtasida NX haqida ~+lar	Conflict	negotiations for X between Y	Ikki davlat o'rtasida savdo shartnomasi haqidagi muzokaralar bugun boshlanadi.	The negotiations for a trade agreement between both countries begin today.		
10859	MUZOKARA	NX haqida ~ olib bor-	Conflict	conduct negotiations for X, negotiate for X	Har ikkala vazir savdo shartnomasi tuzish haqida muzokaralar olib bordilar.	Both ministers negotiated for a trade agreement.		
10871	tinchlik	n	Conflict	quietness, calmness | peace				
10881	ADOLAT	n	Justice	justice, righteousness	Bu mamlakatda adolat bor.	There is justice in this country.		
10886	HAQ	n	Justice	right(s)				
10893	HUQUQ	n	Justice	rights | law	Huquq idoralariga ko'rgazma berildi.	Instructions have been given to the legal departments.		
10896	huquqiy	adj	Justice	legal; juridical				
10900	HAQQONIY	adj	Justice	just, appropriate	U haqqoniy gaplarni aytyapti.	he is telling the truth.		
10903	GUNOH	n	Justice	sin, crime	Gunoh mendan o'tgan emas.	I am not to blame.	Mening gunohim nima?	What have I done?
10905	begunoh	adj	Justice	innocent				
10908	AYB	n	Justice	guilt, fault | disgrace	Sen bilan yurib aybga qoldim.	I was involved in disgrace because I went with you.		
10911	aybla-	v.int | NX+ni NY+da ~	Justice	indict X for Y | accuse X of Y, blame X for Y, put the blame on X, find faults with X	U o'z akasini ehtiyotsizlikda aybladi.	He accused his brother of carelessness.	Uni yolg'onchilikda aybladilar.	He was blamed for a fraud.
10914	aybdor	adj | NX+ga ~	Justice	guilty of X	Injener avariya bo'lganiga aybdor emas edi.	The engineer was not guilty of the accident.		
10917	himoyachi	n	Justice	defender | lawyer				
10918	javobgar	adj | NX uchun / NX+ga ~	Justice	responsible for X | guilty	U javobgar bo'ldi.	He is guilty.		
10919	SHIKOYAT	n	Justice	complaint, protest				
10920	SHIKOYAT	N(ish)X haqida NY+ga shikoyat qil-	Justice	complain to Y about X, protest against X(=person, action)	Ayol pochta orqali yuboriladigan pullar o'z vaqtida yetkazmasligi haqida pochta xodimiga shikoyat qildi.	The woman complained to the post employee of the late delivery of her postal order.	Men bu asbobning sifati yomonligi haqida shikoyat qilmoqchiman.	I want to complain about the inferior quality of this apparatus.
10929	JINOIY	adj	Justice	criminal				
10930	JINOYAT	n	Justice	crime	Uning jinoyati og'ir.	His crime is serious.		
10932	jinoyatchi	n	Justice	criminal				
10934	PORA	n	Justice	bribe				
10937	poraxo'r	n	Justice	corrupt person				
10940	SOXTA	adj	Justice	false, forged	Bu soxta hujjatdir.	This is a forged document.		
10943	aldamchi	n	Justice	cheat, swindler, deceiver	Bu odamdan ehtiyot bo'lish kerak, chunki aldamchidir.	One must be careful of that man because he is a deceiver.		
10945	BUZ-	v.t	Justice	break (rule, promiseï¿½)	O'yinchi o'yin qondasini buzdi.	The player broke the rule of the game.	U berilgan va'dani buzdi.	He has broken his promise.
10948	O'G'RI	n	Justice	thief, burglar	O'g'rini tutdilar.	The thief was caught.		
10951	O'G'IRLA-	v.t	Justice	steal, rob	Mening do'stimning fotoapparatini o'g'irladilar.	My friend has had his camera stolen.	Birovning narsasini o'g'irlash mumkin emas!	One must not steal the property of another!
10964	FOHISHA	n	Justice	prostitute				
10968	zo'rla-	v.t	Justice	rape				
10971	o'ldir-	v.t	Justice	kill, murder				
10973	QOTIL	n	Justice	murderer, killer				
10982	JAZO	n	Justice	punishment				
10986	jazola-	v.t | NX+ni NY uchun ~	Justice	punish, penalize X for Y				
10987	jazolan-	v.int | NX uchun ~	Justice	get punished, penalized for X	U bu ish uchun jazolanadi.	He will be punished for that.		
10995	JARIMA	n	Justice	fine, penalty				
10998	QONUN	n	Justice	law	Fransiya qonunlarini bilasizmi?	Do you know the laws of France?		
11006	noqonuniy	adj	Justice	illegal				
11014	SUD	n	Justice	court | trial	Uning ishi sudga berildi.	His case has been taken to court.		
11015	SUD	sud qil-	Justice	try, judge				
11016	sudya	n	Justice	judge				
11018	HUKM	n	Justice	judgement, sentence, verdict	Hukm o'qilmoqda.	The sentence is being read.		
11027	HOKIM	n	Justice	local ruler, judge				
11028	MILITSIYA	n	Justice	police, militia				
11029	MILITSIYA	militsiya bo'limi	Justice	police station				
11034	politsiyachi	n	Justice	policeman				
11037	GUVOH	n	Justice	witness	Guvohlar qozixonaga kirdilar.	The witnesses entered the court.		
11047	DALOLAT	NX+dan ~ ber-	Justice	testify to X, give evidence of X, be indicative of X	Uning faoliyati vatanga qizg'in muhabbatidan dalolat beradi.	His activities are indicative of his great love for his motherland.	Obro'-e'tibor yuqori ekanligidan dalolat beradi.	This testifies to the high level of its authority.
11048	ADVOKAT	n	Justice	lawyer, attorney				
11054	QAMA-	v.t	Justice	arrest	Uni qamash kerak.	He must be arrested.		
11060	qamoqxona	n	Justice	prison, jail				
11061	TURMA	n	Justice	prison	Turmaga qamamoq.	To imprison.		
11069	TUTQUN	n	Justice	captive, prisoner				
11076	BOR	adj | NY+ning NX+i ~	Possession and Exchange	(Y) have X (possession)	Aqli bor odam bu ishni qilmaydi.	A wise man does not do such things.	Mening soatim bor.	I have a watch.
11077	BOR	adj | NY+da NX ~	Possession and Exchange	(Y) have X (with it)				
11081	YO'Q	NY+ning NX+i ~	Possession and Exchange	(Y) have not X (possession)	Onasi yo'q bola.	Motherless child.	Vaqtim yo'q.	I have no time.
11082	YO'Q	NY+da NX ~	Possession and Exchange	(Y) have not X (with it)				
11083	EGA	n | NX+ning ~+si	Possession and Exchange	owner, recipient (of X)	Bu odam ana u uyning egasi.	This man owns that house.	Bu uyning egasi kim?	Who is the owner of this house?
11084	EGA	n | NX+ga ~	Possession and Exchange	own X, possess X, have X, have X at one's disposal	Bizning kutubxonamiz ko'p nusxada qiziqarli kitoblarga egadir.	Our library has a great number of interesting books.	Jamoa katta mablag'larga ega.	The collective has great reserves at its disposal.
11091	qarashli	adj | NX+ga ~	Possession and Exchange	belonging to X	Bu kitob mening dugonamga qarashli.	This book belongs to my friend.	U bizga qarashli odam.	He is one of us.
11101	MOL	n	Possession and Exchange	property, possessions, belongings | commodity, goods, articles, produce	Bu mollar o'tmaydi.	These goods have no market.		
11102	MULK	n	Possession and Exchange	property	Bu mening mulkim.	This is my property.	Ular jamoat mulkini talon-toroj qiladilar.	They are embezzling public property.
11111	XAZINA	n	Possession and Exchange	treasure	Davlat xazinasida pul ko'p.	There is much money in the State Treasure.		
11114	BOY	adj | NX+ga ~	Possession and Exchange	rich (in X), wealthy (l/f)	Bizning vatanimiz turli xil foydali qazilmalarga boy.	Our native land is rich in different minerals.	Uning otasi boy.	His father is rich.
11117	boylik	n	Possession and Exchange	wealth, riches, resources				
11120	boyi-	v.int | (NX hisobiga) ~	Possession and Exchange	grow rich, become rich in X	Monopolistlar harbiy buyurtmalar hisobiga boyimoqdalar.	The monopolists become rich in military deliveries.		
11128	MO'L	adj	Possession and Exchange	abundant, plentiful, rich				
11139	SAODAT	n	Possession and Exchange	happiness, well-being				
11157	KAMBAG'AL	adj | NX+ga ~	Possession and Exchange	poor in X, needy, short of X (l/f)				
11165	MUHTOJ	adj	Possession and Exchange	needy, in need				
11167	bechora	adj	Possession and Exchange	poor, pitiful, miserable				
11175	GADO/ GADOY	n	Possession and Exchange	beggar				
11178	OL-	v.t	Possession and Exchange	take | obtain, get, acquire | buy, purchase	Sen televizor oldingmi?	Have you purchased a television set?		
11179	olin-	v.int | NX+dan ~	Possession and Exchange	be taken, obtained, extracted from X	Shakar qand davlagidan olinadi.	Sugar is extracted from sugar-beet.		
11184	QOZON-	v.t	Possession and Exchange	gain, win, obtain	U xalq orasida shuhrat qozongan.	He has won fame among the people.		
11200	YUT-	v.t	Possession and Exchange	win	U bu shaxmat partiyasini yutdi.	He has won this chess game.		
